UGY;VOF;u/u_av;Points:0;Points:1;Points:2
-3.2024e-05;1;-0.00047797;0.0782;0.0006021;0
-3.2338e-05;1;-0.00048267;0.0782;0.0006048;0
-3.2653e-05;1;-0.00048737;0.0782;0.0006075;0
-3.2968e-05;1;-0.00049207;0.0782;0.0006102;0
-3.3283e-05;1;-0.00049677;0.0782;0.0006129;0
-3.3598e-05;1;-0.00050147;0.0782;0.0006156;0
-3.3913e-05;1;-0.00050617;0.0782;0.0006183;0
-3.4228e-05;1;-0.00051087;0.0782;0.000621;0
-3.4543e-05;1;-0.00051557;0.0782;0.0006237;0
-3.4857e-05;1;-0.00052026;0.0782;0.0006264;0
-3.5172e-05;1;-0.00052496;0.0782;0.0006291;0
-3.5487e-05;1;-0.00052966;0.0782;0.0006318;0
-3.5802e-05;1;-0.00053436;0.0782;0.0006345;0
-3.6117e-05;1;-0.00053906;0.0782;0.0006372;0
-3.6432e-05;1;-0.00054376;0.0782;0.0006399;0
-3.6747e-05;1;-0.00054846;0.0782;0.0006426;0
-3.7061e-05;1;-0.00055316;0.0782;0.0006453;0
-3.7376e-05;1;-0.00055786;0.0782;0.000648;0
-3.7691e-05;1;-0.00056256;0.0782;0.0006507;0
-3.8006e-05;1;-0.00056726;0.0782;0.0006534;0
-3.8321e-05;1;-0.00057196;0.0782;0.0006561;0
-3.8636e-05;1;-0.00057666;0.0782;0.0006588;0
-3.8951e-05;1;-0.00058136;0.0782;0.0006615;0
-3.9266e-05;1;-0.00058606;0.0782;0.0006642;0
-3.9587e-05;1;-0.00059085;0.0782;0.0006669;0
-3.9987e-05;1;-0.00059682;0.0782;0.0006696;0
-4.0386e-05;1;-0.00060279;0.0782;0.0006723;0
-4.0786e-05;1;-0.00060876;0.0782;0.000675;0
-4.1186e-05;1;-0.00061473;0.0782;0.0006777;0
-4.1586e-05;1;-0.00062069;0.0782;0.0006804;0
-4.1986e-05;1;-0.00062666;0.0782;0.0006831;0
-4.2386e-05;1;-0.00063263;0.0782;0.0006858;0
-4.2786e-05;1;-0.0006386;0.0782;0.0006885;0
-4.3186e-05;1;-0.00064457;0.0782;0.0006912;0
-4.3585e-05;1;-0.00065054;0.0782;0.0006939;0
-4.3985e-05;1;-0.0006565;0.0782;0.0006966;0
-4.4385e-05;1;-0.00066247;0.0782;0.0006993;0
-4.4785e-05;1;-0.00066844;0.0782;0.000702;0
-4.5185e-05;1;-0.00067441;0.0782;0.0007047;0
-4.5585e-05;1;-0.00068038;0.0782;0.0007074;0
-4.5985e-05;1;-0.00068635;0.0782;0.0007101;0
-4.6385e-05;1;-0.00069231;0.0782;0.0007128;0
-4.6784e-05;1;-0.00069828;0.0782;0.0007155;0
-4.7184e-05;1;-0.00070425;0.0782;0.0007182;0
-4.7584e-05;1;-0.00071022;0.0782;0.0007209;0
-4.7984e-05;1;-0.00071619;0.0782;0.0007236;0
-4.8384e-05;1;-0.00072216;0.0782;0.0007263;0
-4.8784e-05;1;-0.00072812;0.0782;0.000729;0
-4.9184e-05;1;-0.00073409;0.0782;0.0007317;0
-4.9584e-05;1;-0.00074006;0.0782;0.0007344;0
-4.9983e-05;1;-0.00074603;0.0782;0.0007371;0
-5.0383e-05;1;-0.000752;0.0782;0.0007398;0
-5.0783e-05;1;-0.00075797;0.0782;0.0007425;0
-5.1183e-05;1;-0.00076394;0.0782;0.0007452;0
-5.1583e-05;1;-0.0007699;0.0782;0.0007479;0
-5.1983e-05;1;-0.00077587;0.0782;0.0007506;0
-5.2383e-05;1;-0.00078184;0.0782;0.0007533;0
-5.2783e-05;1;-0.00078781;0.0782;0.000756;0
-5.3183e-05;1;-0.00079378;0.0782;0.0007587;0
-5.3582e-05;1;-0.00079975;0.0782;0.0007614;0
-5.3982e-05;1;-0.00080571;0.0782;0.0007641;0
-5.4382e-05;1;-0.00081168;0.0782;0.0007668;0
-5.4782e-05;1;-0.00081765;0.0782;0.0007695;0
-5.5182e-05;1;-0.00082362;0.0782;0.0007722;0
-5.5582e-05;1;-0.00082959;0.0782;0.0007749;0
-5.5982e-05;1;-0.00083556;0.0782;0.0007776;0
-5.6382e-05;1;-0.00084152;0.0782;0.0007803;0
-5.6781e-05;1;-0.00084749;0.0782;0.000783;0
-5.7181e-05;1;-0.00085346;0.0782;0.0007857;0
-5.7581e-05;1;-0.00085943;0.0782;0.0007884;0
-5.7981e-05;1;-0.0008654;0.0782;0.0007911;0
-5.8381e-05;1;-0.00087137;0.0782;0.0007938;0
-5.8781e-05;1;-0.00087733;0.0782;0.0007965;0
-5.9181e-05;1;-0.0008833;0.0782;0.0007992;0
-5.9638e-05;1;-0.00089013;0.0782;0.0008019;0
-6.0121e-05;1;-0.00089734;0.0782;0.0008046;0
-6.0605e-05;1;-0.00090456;0.0782;0.0008073;0
-6.1088e-05;1;-0.00091177;0.0782;0.00081;0
-6.1571e-05;1;-0.00091898;0.0782;0.0008127;0
-6.2055e-05;1;-0.0009262;0.0782;0.0008154;0
-6.2538e-05;1;-0.00093341;0.0782;0.0008181;0
-6.3021e-05;1;-0.00094062;0.0782;0.0008208;0
-6.3504e-05;1;-0.00094784;0.0782;0.0008235;0
-6.3988e-05;1;-0.00095505;0.0782;0.0008262;0
-6.4471e-05;1;-0.00096227;0.0782;0.0008289;0
-6.4954e-05;1;-0.00096948;0.0782;0.0008316;0
-6.5438e-05;1;-0.00097669;0.0782;0.0008343;0
-6.5921e-05;1;-0.00098391;0.0782;0.000837;0
-6.6404e-05;1;-0.00099112;0.0782;0.0008397;0
-6.6888e-05;1;-0.00099833;0.0782;0.0008424;0
-6.7371e-05;1;-0.0010055;0.0782;0.0008451;0
-6.7854e-05;1;-0.0010128;0.0782;0.0008478;0
-6.8338e-05;1;-0.00102;0.0782;0.0008505;0
-6.8821e-05;1;-0.0010272;0.0782;0.0008532;0
-6.9304e-05;1;-0.0010344;0.0782;0.0008559;0
-6.9788e-05;1;-0.0010416;0.0782;0.0008586;0
-7.0271e-05;1;-0.0010488;0.0782;0.0008613;0
-7.0754e-05;1;-0.001056;0.0782;0.000864;0
-7.1238e-05;1;-0.0010633;0.0782;0.0008667;0
-7.1721e-05;1;-0.0010705;0.0782;0.0008694;0
-7.2204e-05;1;-0.0010777;0.0782;0.0008721;0
-7.2687e-05;1;-0.0010849;0.0782;0.0008748;0
-7.3171e-05;1;-0.0010921;0.0782;0.0008775;0
-7.3654e-05;1;-0.0010993;0.0782;0.0008802;0
-7.4137e-05;1;-0.0011065;0.0782;0.0008829;0
-7.4621e-05;1;-0.0011138;0.0782;0.0008856;0
-7.5104e-05;1;-0.001121;0.0782;0.0008883;0
-7.5587e-05;1;-0.0011282;0.0782;0.000891;0
-7.6071e-05;1;-0.0011354;0.0782;0.0008937;0
-7.6554e-05;1;-0.0011426;0.0782;0.0008964;0
-7.7037e-05;1;-0.0011498;0.0782;0.0008991;0
-7.7521e-05;1;-0.001157;0.0782;0.0009018;0
-7.8004e-05;1;-0.0011643;0.0782;0.0009045;0
-7.8487e-05;1;-0.0011715;0.0782;0.0009072;0
-7.8971e-05;1;-0.0011787;0.0782;0.0009099;0
-7.9454e-05;1;-0.0011859;0.0782;0.0009126;0
-7.9937e-05;1;-0.0011931;0.0782;0.0009153;0
-8.0421e-05;1;-0.0012003;0.0782;0.000918;0
-8.0904e-05;1;-0.0012075;0.0782;0.0009207;0
-8.1387e-05;1;-0.0012147;0.0782;0.0009234;0
-8.187e-05;1;-0.001222;0.0782;0.0009261;0
-8.2354e-05;1;-0.0012292;0.0782;0.0009288;0
-8.2837e-05;1;-0.0012364;0.0782;0.0009315;0
-8.3345e-05;1;-0.001244;0.0782;0.0009342;0
-8.391e-05;1;-0.0012524;0.0782;0.0009369;0
-8.4474e-05;1;-0.0012608;0.0782;0.0009396;0
-8.5039e-05;1;-0.0012693;0.0782;0.0009423;0
-8.5603e-05;1;-0.0012777;0.0782;0.000945;0
-8.6168e-05;1;-0.0012861;0.0782;0.0009477;0
-8.6733e-05;1;-0.0012945;0.0782;0.0009504;0
-8.7297e-05;1;-0.001303;0.0782;0.0009531;0
-8.7862e-05;1;-0.0013114;0.0782;0.0009558;0
-8.8427e-05;1;-0.0013198;0.0782;0.0009585;0
-8.8991e-05;1;-0.0013282;0.0782;0.0009612;0
-8.9556e-05;1;-0.0013367;0.0782;0.0009639;0
-9.012e-05;1;-0.0013451;0.0782;0.0009666;0
-9.0685e-05;1;-0.0013535;0.0782;0.0009693;0
-9.125e-05;1;-0.0013619;0.0782;0.000972;0
