UGY;VOF;u/u_av_line;Points:0;Points:1;Points:2
7.3588e-06;1;0.00012536;0.0782;0.00046455;2.3309e-05
7.4172e-06;1;0.00012636;0.0782;0.0004674;2.3452e-05
7.4755e-06;1;0.00012735;0.0782;0.00047025;2.3595e-05
7.5338e-06;1;0.00012834;0.0782;0.0004731;2.3738e-05
7.5921e-06;1;0.00012934;0.0782;0.00047595;2.3881e-05
7.6504e-06;1;0.00013033;0.0782;0.0004788;2.4024e-05
7.7087e-06;1;0.00013132;0.0782;0.00048165;2.4167e-05
7.7671e-06;1;0.00013232;0.0782;0.0004845;2.431e-05
7.8254e-06;1;0.00013331;0.0782;0.00048735;2.4453e-05
7.8837e-06;1;0.0001343;0.0782;0.0004902;2.4596e-05
7.942e-06;1;0.0001353;0.0782;0.00049305;2.4739e-05
8.0003e-06;1;0.00013629;0.0782;0.0004959;2.4882e-05
8.0586e-06;1;0.00013729;0.0782;0.00049875;2.5025e-05
8.117e-06;1;0.00013828;0.0782;0.0005016;2.5168e-05
8.1753e-06;1;0.00013927;0.0782;0.00050445;2.5311e-05
8.2336e-06;1;0.00014027;0.0782;0.0005073;2.5454e-05
8.2919e-06;1;0.00014126;0.0782;0.00051015;2.5597e-05
8.3502e-06;1;0.00014225;0.0782;0.000513;2.574e-05
8.4086e-06;1;0.00014325;0.0782;0.00051585;2.5883e-05
8.4669e-06;1;0.00014424;0.0782;0.0005187;2.6026e-05
8.5252e-06;1;0.00014523;0.0782;0.00052155;2.6169e-05
8.5835e-06;1;0.00014623;0.0782;0.0005244;2.6312e-05
8.6418e-06;1;0.00014722;0.0782;0.00052725;2.6455e-05
8.7001e-06;1;0.00014821;0.0782;0.0005301;2.6598e-05
8.7585e-06;1;0.00014921;0.0782;0.00053295;2.6741e-05
8.8047e-06;1;0.00014999;0.0782;0.0005358;2.6884e-05
8.8486e-06;1;0.00015074;0.0782;0.00053865;2.7027e-05
8.8926e-06;1;0.00015149;0.0782;0.0005415;2.717e-05
8.9366e-06;1;0.00015224;0.0782;0.00054435;2.7313e-05
8.9806e-06;1;0.00015299;0.0782;0.0005472;2.7456e-05
9.0246e-06;1;0.00015374;0.0782;0.00055005;2.7599e-05
9.0686e-06;1;0.00015449;0.0782;0.0005529;2.7742e-05
9.1126e-06;1;0.00015524;0.0782;0.00055575;2.7885e-05
9.1566e-06;1;0.00015599;0.0782;0.0005586;2.8028e-05
9.2006e-06;1;0.00015674;0.0782;0.00056145;2.8171e-05
9.2445e-06;1;0.00015749;0.0782;0.0005643;2.8314e-05
9.2885e-06;1;0.00015824;0.0782;0.00056715;2.8457e-05
9.3325e-06;1;0.00015899;0.0782;0.00057;2.86e-05
9.3765e-06;1;0.00015974;0.0782;0.00057285;2.8743e-05
9.4205e-06;1;0.00016049;0.0782;0.0005757;2.8886e-05
9.4645e-06;1;0.00016123;0.0782;0.00057855;2.9029e-05
9.5085e-06;1;0.00016198;0.0782;0.0005814;2.9172e-05
9.5525e-06;1;0.00016273;0.0782;0.00058425;2.9315e-05
9.5964e-06;1;0.00016348;0.0782;0.0005871;2.9458e-05
9.6404e-06;1;0.00016423;0.0782;0.00058995;2.9601e-05
9.6844e-06;1;0.00016498;0.0782;0.0005928;2.9744e-05
9.7284e-06;1;0.00016573;0.0782;0.00059565;2.9887e-05
9.7724e-06;1;0.00016648;0.0782;0.0005985;3.003e-05
9.8164e-06;1;0.00016723;0.0782;0.00060135;3.0173e-05
9.8604e-06;1;0.00016798;0.0782;0.0006042;3.0316e-05
9.9044e-06;1;0.00016873;0.0782;0.00060705;3.0459e-05
9.9484e-06;1;0.00016948;0.0782;0.0006099;3.0602e-05
9.9923e-06;1;0.00017023;0.0782;0.00061275;3.0745e-05
1.0036e-05;1;0.00017098;0.0782;0.0006156;3.0888e-05
1.008e-05;1;0.00017173;0.0782;0.00061845;3.1031e-05
1.0124e-05;1;0.00017248;0.0782;0.0006213;3.1174e-05
1.0168e-05;1;0.00017322;0.0782;0.00062415;3.1317e-05
1.0212e-05;1;0.00017397;0.0782;0.000627;3.146e-05
1.0256e-05;1;0.00017472;0.0782;0.00062985;3.1603e-05
1.03e-05;1;0.00017547;0.0782;0.0006327;3.1746e-05
1.0344e-05;1;0.00017622;0.0782;0.00063555;3.1889e-05
1.0388e-05;1;0.00017697;0.0782;0.0006384;3.2032e-05
1.0432e-05;1;0.00017772;0.0782;0.00064125;3.2175e-05
1.0476e-05;1;0.00017847;0.0782;0.0006441;3.2318e-05
1.052e-05;1;0.00017922;0.0782;0.00064695;3.2461e-05
1.0564e-05;1;0.00017997;0.0782;0.0006498;3.2604e-05
1.0608e-05;1;0.00018072;0.0782;0.00065265;3.2747e-05
1.0652e-05;1;0.00018147;0.0782;0.0006555;3.289e-05
1.0696e-05;1;0.00018222;0.0782;0.00065835;3.3033e-05
1.074e-05;1;0.00018297;0.0782;0.0006612;3.3176e-05
1.0784e-05;1;0.00018372;0.0782;0.00066405;3.3319e-05
1.0826e-05;1;0.00018444;0.0782;0.0006669;3.3462e-05
1.0842e-05;1;0.0001847;0.0782;0.00066975;3.3605e-05
1.0857e-05;1;0.00018496;0.0782;0.0006726;3.3748e-05
1.0873e-05;1;0.00018522;0.0782;0.00067545;3.3891e-05
1.0888e-05;1;0.00018548;0.0782;0.0006783;3.4034e-05
1.0903e-05;1;0.00018575;0.0782;0.00068115;3.4177e-05
1.0919e-05;1;0.00018601;0.0782;0.000684;3.432e-05
1.0934e-05;1;0.00018627;0.0782;0.00068685;3.4463e-05
1.0949e-05;1;0.00018653;0.0782;0.0006897;3.4606e-05
